Id,String
, 
HELLO,Hello
BYE,Goodbye
YOU DIE,You Died
Item1Name,Sword
Item2Name,Shield
Item3Name,Bow
Item4Name,Potion
Item1Desc,This is a sword.
Item2Desc,This is a shield.
Item3Desc,This is a bow.
Item4Desc,This is a potion.
Character1Name,William
Character2Name,Chris
Character3Name,Alice
Character4Name,Tara
Character1Desc,A warrior.
Character2Desc,An archer.
Character3Desc,A mage.
Character4Desc,A tanker.
Attack,ATK
Defense,DEF
Type,Type
Value,Value
Cost,Cost
Weapon,Weapon
Equip,Equipment
Consumable,Consumable
NonConsumable,Non-Consumable
NoneFiltering,No Filter
Save,Save
Load,Load
CreateItem,Create Item
Remove,Remove
TimeAscending,Time Ascending
TimeDescending,Time Descending
NameAscending,Name Ascending
NameDescending,Name Descending
TypeAscending,Type Ascending
TypeDescending,Type Descending
